P037028 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  High school graduate (includes equivalency)
1.000000 km,3.000000 km,5.000000 km,total
52357,901679,1557439,28396462

"P037030 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Some college, 1 or more years, no degree"
1.000000 km,3.000000 km,5.000000 km,total
22246,414395,772929,13298631

P037031 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Associate degree
1.000000 km,3.000000 km,5.000000 km,total
10201,193294,362774,6555562

P037018 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Doctorate degree
1.000000 km,3.000000 km,5.000000 km,total
1849,38561,82459,1210118

P037019 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:
1.000000 km,3.000000 km,5.000000 km,total
193883,3294177,5914225,96363325

P037034 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Professional school degree
1.000000 km,3.000000 km,5.000000 km,total
2856,47854,102596,1387679

P037035 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Doctorate degree
1.000000 km,3.000000 km,5.000000 km,total
1069,19027,43151,557066

"P037012 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Some college, less than 1 year"
1.000000 km,3.000000 km,5.000000 km,total
9473,174013,316577,5680596

"P037013 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Some college, 1 or more years, no degree"
1.000000 km,3.000000 km,5.000000 km,total
21479,395616,725573,12385843

"P037010 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  12th grade, no diploma"
1.000000 km,3.000000 km,5.000000 km,total
11617,157535,263651,3418385

P037011 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  High school graduate (includes equivalency)
1.000000 km,3.000000 km,5.000000 km,total
45702,776081,1319769,24282375

