Variable,3.000000 km,total,Beyond
B03002_008E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Some other race alone,5064,688071,683007
B03002_006E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Asian alone,290552,14024878,13734326
B03002_016E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Asian alone,3818,173029,169211
B03002_004E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Black or African American alone,184044,37126836,36942792
"B03002_021E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",11923,1121553,1109630
B03002_018E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Some other race alone,583453,16311732,15728279
B03002_010E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,2470,248817,246347
B03002_002E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:,867291,256283191,255415900
B03002_012E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:,1369223,51444403,50075180
B03002_014E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Black or African American alone,6375,1126759,1120384
B03003_002E : B03003.  Hispanic or Latino Origin : Not Hispanic or Latino,867291,256283191,255415900
B03002_009E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:,33039,5329267,5296228
B03002_015E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!American Indian and Alaska Native alone,10654,439048,428394
B03002_005E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!American Indian and Alaska Native alone,7090,2048832,2041742
B03002_017E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,932,32970,32038
B03002_020E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races including Some other race,19820,1188607,1168787
B03002_019E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:,31743,2310160,2278417
B03002_003E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!White alone,337896,196606503,196268607
"B03002_011E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",30569,5080450,5049881
B03002_001E : B03002.  Hispanic or Latino by Race : Total:,2236514,307727594,305491080
B03002_013E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!White alone,732248,31050705,30318457
B03002_007E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,9606,458804,449198
B03003_003E : B03003.  Hispanic or Latino Origin : Hispanic or Latino,1369223,51444403,50075180
B03003_001E : B03003.  Hispanic or Latino Origin : Total:,2236514,307727594,305491080
