Variable,3.000000 km,total,Beyond
P088007 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.50 to 1.74,102094,12093076,11990982
P088006 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.25 to 1.49,109768,12412783,12303015
P088005 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.00 to 1.24,105003,11610252,11505249
P088004 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  75 to .99,98923,10438181,10339258
P088003 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  50 to .74,98765,8955727,8856962
P088002 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  Under .50,187384,16324591,16137207
P088001 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total: Population for whom poverty status is determined,2143087,277652014,275508927
P088009 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.85 to 1.99,54244,6997902,6943658
P088008 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.75 to 1.84,42925,5187973,5145048
P088010 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  2.00 and over,1343981,193631529,192287548
