Variable,3.000000 km,total,Beyond
P088007 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.50 to 1.74,48113,12093076,12044963
P088006 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.25 to 1.49,54917,12412783,12357866
P088005 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.00 to 1.24,55110,11610252,11555142
P088004 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  75 to .99,48795,10438181,10389386
P088003 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  50 to .74,40538,8955727,8915189
P088002 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  Under .50,70930,16324591,16253661
P088001 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total: Population for whom poverty status is determined,841071,277652014,276810943
P088009 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.85 to 1.99,26087,6997902,6971815
P088008 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.75 to 1.84,21874,5187973,5166099
P088010 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  2.00 and over,474707,193631529,193156822
