Variable,3.000000 km,total,Beyond
P088007 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.50 to 1.74,44173,12093076,12048903
P088006 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.25 to 1.49,45833,12412783,12366950
P088005 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.00 to 1.24,43408,11610252,11566844
P088004 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  75 to .99,40285,10438181,10397896
P088003 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  50 to .74,35448,8955727,8920279
P088002 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  Under .50,77352,16324591,16247239
P088001 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total: Population for whom poverty status is determined,808237,277652014,276843777
P088009 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.85 to 1.99,25808,6997902,6972094
P088008 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.75 to 1.84,17155,5187973,5170818
P088010 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  2.00 and over,478775,193631529,193152754
